,jackpot,2nd,3rd,4th,5th,6th,7th,8th,9th,no_match
trial 89,0.0,0.0,0.0,0.0,0.0001,0.00211,0.00151,0.01166,0.02783,0.95679
trial 90,0.0,0.0,0.0,4e-05,8e-05,0.00174,0.00157,0.01107,0.0273,0.9582
trial 91,0.0,0.0,0.0,3e-05,7e-05,0.00162,0.00125,0.01087,0.02743,0.95873
trial 92,0.0,0.0,1e-05,2e-05,0.00012,0.00169,0.00154,0.01111,0.02802,0.95749
trial 93,0.0,0.0,0.0,2e-05,2e-05,0.00152,0.00155,0.01149,0.02732,0.95808
trial 94,0.0,0.0,0.0,2e-05,0.00011,0.00185,0.00154,0.011,0.02708,0.9584
trial 95,0.0,0.0,0.0,2e-05,4e-05,0.0016,0.00151,0.01149,0.02639,0.95895
trial 96,0.0,0.0,1e-05,3e-05,8e-05,0.00178,0.00153,0.0111,0.02694,0.95853
trial 97,0.0,0.0,1e-05,1e-05,5e-05,0.00152,0.00134,0.01136,0.0271,0.95861
trial 98,0.0,0.0,0.0,1e-05,8e-05,0.00168,0.00123,0.01116,0.02716,0.95868
trial 99,0.0,0.0,0.0,2e-05,9e-05,0.0018,0.00123,0.01123,0.0271,0.95853
trial 100,0.0,0.0,0.0,1e-05,9e-05,0.00155,0.0015,0.01148,0.02646,0.95891
trial 101,0.0,0.0,0.0,2e-05,4e-05,0.00167,0.00145,0.01079,0.02728,0.95875
trial 102,0.0,0.0,0.0,4e-05,5e-05,0.00164,0.00126,0.01127,0.02729,0.95845
trial 103,0.0,0.0,0.0,4e-05,9e-05,0.00173,0.00132,0.01024,0.02629,0.96029
trial 104,0.0,0.0,0.0,5e-05,6e-05,0.00162,0.00142,0.01096,0.02627,0.95962
trial 105,0.0,0.0,0.0,5e-05,0.0001,0.0017,0.00154,0.01121,0.02689,0.95851
trial 106,0.0,0.0,0.0,0.0,0.0001,0.00157,0.00149,0.0114,0.02737,0.95807
trial 107,0.0,0.0,0.0,0.0,5e-05,0.00162,0.00158,0.01121,0.02735,0.95819
trial 108,0.0,0.0,0.0,1e-05,3e-05,0.0016,0.00157,0.0115,0.0266,0.95869
trial 109,0.0,0.0,0.0,7e-05,6e-05,0.00175,0.00158,0.01094,0.02758,0.95802
trial 110,0.0,0.0,0.0,4e-05,1e-05,0.00167,0.00149,0.0108,0.02735,0.95864
trial 111,0.0,0.0,0.0,1e-05,5e-05,0.00168,0.00151,0.01108,0.02776,0.95791
trial 112,0.0,0.0,0.0,1e-05,9e-05,0.00163,0.00153,0.01137,0.02671,0.95866
trial 113,0.0,0.0,0.0,2e-05,2e-05,0.00171,0.00136,0.01146,0.02775,0.95768
trial 114,0.0,0.0,1e-05,2e-05,3e-05,0.0017,0.00157,0.01111,0.02717,0.95839
trial 115,0.0,0.0,0.0,5e-05,6e-05,0.00173,0.00132,0.01079,0.02761,0.95844
trial 116,0.0,0.0,1e-05,5e-05,4e-05,0.00156,0.00135,0.01113,0.02754,0.95832
trial 117,0.0,0.0,0.0,1e-05,5e-05,0.00172,0.0015,0.01082,0.02768,0.95822
trial 118,0.0,0.0,0.0,1e-05,2e-05,0.00162,0.00135,0.01111,0.02776,0.95813
trial 119,0.0,0.0,0.0,3e-05,7e-05,0.00172,0.00128,0.01086,0.02686,0.95918
trial 120,0.0,0.0,0.0,3e-05,4e-05,0.00163,0.00153,0.01106,0.0272,0.95851
trial 121,0.0,0.0,0.0,3e-05,7e-05,0.00157,0.00143,0.01112,0.02657,0.95921
trial 122,0.0,0.0,0.0,3e-05,6e-05,0.00162,0.00143,0.01079,0.02757,0.9585
trial 123,0.0,0.0,0.0,3e-05,8e-05,0.00174,0.00144,0.01128,0.02773,0.9577
trial 124,0.0,0.0,0.0,4e-05,8e-05,0.0016,0.00119,0.01088,0.0273,0.95891
trial 125,0.0,0.0,0.0,5e-05,7e-05,0.00172,0.00121,0.0108,0.02674,0.95941
trial 126,0.0,0.0,0.0,2e-05,5e-05,0.00169,0.00138,0.01134,0.02622,0.9593
trial 127,0.0,0.0,1e-05,1e-05,5e-05,0.00181,0.00144,0.01129,0.02735,0.95804
trial 128,0.0,0.0,0.0,2e-05,5e-05,0.00128,0.00172,0.01146,0.02611,0.95936
trial 129,0.0,0.0,0.0,1e-05,7e-05,0.00164,0.00132,0.01134,0.02781,0.95781
trial 130,0.0,0.0,0.0,2e-05,8e-05,0.00152,0.0013,0.01094,0.02773,0.95841
trial 131,0.0,0.0,0.0,2e-05,0.00013,0.00166,0.00135,0.01117,0.02665,0.95902
trial 132,0.0,0.0,1e-05,3e-05,7e-05,0.00172,0.00127,0.01147,0.02733,0.9581
trial 133,0.0,0.0,0.0,6e-05,6e-05,0.00177,0.00134,0.01166,0.02772,0.95739
trial 134,0.0,0.0,0.0,2e-05,8e-05,0.00147,0.00148,0.01133,0.02698,0.95864
trial 135,0.0,0.0,0.0,2e-05,7e-05,0.00175,0.00181,0.01108,0.02649,0.95878
trial 136,0.0,0.0,0.0,4e-05,4e-05,0.00182,0.00142,0.01167,0.02666,0.95835
trial 137,0.0,0.0,1e-05,4e-05,0.00011,0.00188,0.00151,0.01069,0.0281,0.95766
trial 138,0.0,0.0,0.0,2e-05,6e-05,0.00141,0.00153,0.01164,0.02683,0.95851
trial 139,0.0,0.0,0.0,2e-05,2e-05,0.00169,0.0014,0.01113,0.02799,0.95775
trial 140,0.0,0.0,0.0,3e-05,8e-05,0.00168,0.0014,0.01146,0.02709,0.95826
trial 141,0.0,0.0,0.0,2e-05,5e-05,0.00184,0.00146,0.01123,0.02796,0.95744
trial 142,0.0,0.0,0.0,1e-05,6e-05,0.00168,0.00133,0.011,0.02644,0.95948
trial 143,0.0,0.0,0.0,5e-05,0.0001,0.00143,0.00136,0.01157,0.02637,0.95912
trial 144,0.0,0.0,0.0,3e-05,7e-05,0.00155,0.00147,0.01089,0.02694,0.95905
trial 145,0.0,0.0,0.0,3e-05,6e-05,0.00149,0.00135,0.01097,0.02772,0.95838
trial 146,0.0,0.0,0.0,5e-05,7e-05,0.00164,0.00129,0.01119,0.02757,0.95819
trial 147,0.0,0.0,0.0,2e-05,5e-05,0.00171,0.00159,0.01147,0.02664,0.95852
trial 148,0.0,0.0,0.0,1e-05,5e-05,0.00143,0.00113,0.01154,0.02784,0.958
trial 149,0.0,0.0,0.0,1e-05,8e-05,0.00155,0.00145,0.01102,0.02751,0.95838
trial 150,0.0,0.0,0.0,2e-05,0.00012,0.00146,0.00153,0.01094,0.02791,0.95802
trial 151,0.0,0.0,0.0,1e-05,7e-05,0.00152,0.00146,0.01167,0.02794,0.95733
trial 152,0.0,0.0,0.0,4e-05,6e-05,0.00147,0.00158,0.01142,0.02721,0.95822
trial 153,0.0,0.0,0.0,3e-05,0.0001,0.0017,0.00149,0.01126,0.02723,0.95819
trial 154,0.0,0.0,1e-05,1e-05,0.0001,0.00174,0.0014,0.01138,0.02662,0.95874
trial 155,0.0,0.0,0.0,1e-05,5e-05,0.00152,0.00142,0.01128,0.02714,0.95858
trial 156,0.0,0.0,0.0,4e-05,4e-05,0.00177,0.00134,0.01051,0.0284,0.9579
trial 157,0.0,0.0,0.0,1e-05,5e-05,0.00152,0.00133,0.01132,0.02743,0.95834
trial 158,0.0,0.0,1e-05,4e-05,5e-05,0.00177,0.00127,0.01124,0.02703,0.95859
trial 159,0.0,0.0,0.0,0.0,3e-05,0.00138,0.00144,0.01116,0.02737,0.95862
trial 160,0.0,0.0,0.0,4e-05,0.00012,0.00166,0.00138,0.01206,0.0278,0.95694
trial 161,0.0,0.0,0.0,2e-05,9e-05,0.00161,0.00145,0.01083,0.02653,0.95947
trial 162,0.0,0.0,0.0,1e-05,8e-05,0.00186,0.00146,0.01058,0.02751,0.9585
trial 163,0.0,0.0,0.0,1e-05,5e-05,0.00175,0.00145,0.0114,0.02742,0.95792
trial 164,0.0,0.0,0.0,5e-05,7e-05,0.00189,0.00154,0.01121,0.02681,0.95843
trial 165,0.0,0.0,1e-05,3e-05,0.00011,0.00156,0.00138,0.01107,0.0269,0.95894
trial 166,0.0,0.0,0.0,4e-05,6e-05,0.00162,0.00151,0.01081,0.02709,0.95887
trial 167,0.0,0.0,0.0,5e-05,6e-05,0.00173,0.00122,0.01141,0.02754,0.95799
trial 168,0.0,0.0,0.0,2e-05,7e-05,0.00163,0.00155,0.0114,0.02793,0.9574
trial 169,0.0,0.0,0.0,3e-05,4e-05,0.00153,0.00146,0.01174,0.02791,0.95729
trial 170,0.0,0.0,0.0,1e-05,7e-05,0.00179,0.00146,0.01175,0.02711,0.95781
trial 171,0.0,0.0,0.0,5e-05,7e-05,0.00164,0.00152,0.01107,0.02836,0.95729
trial 172,0.0,0.0,0.0,3e-05,4e-05,0.00179,0.00125,0.01146,0.0261,0.95933
trial 173,0.0,0.0,0.0,5e-05,2e-05,0.00153,0.00162,0.0107,0.02804,0.95804
trial 174,0.0,0.0,0.0,2e-05,9e-05,0.00155,0.00162,0.01074,0.02716,0.95882
trial 175,0.0,0.0,0.0,5e-05,8e-05,0.00156,0.00157,0.01057,0.02691,0.95926
trial 176,0.0,0.0,0.0,7e-05,6e-05,0.00153,0.00157,0.01118,0.02685,0.95874
trial 177,0.0,0.0,0.0,2e-05,0.0001,0.0016,0.0015,0.01149,0.02651,0.95878
trial 178,0.0,0.0,0.0,3e-05,9e-05,0.00156,0.00139,0.01105,0.02624,0.95964
trial 179,0.0,0.0,0.0,1e-05,0.0001,0.00174,0.00148,0.01146,0.02638,0.95883
trial 180,0.0,0.0,0.0,4e-05,0.00012,0.00151,0.0016,0.01049,0.02584,0.9604
trial 181,0.0,0.0,0.0,3e-05,5e-05,0.00152,0.00135,0.01109,0.02687,0.95909
trial 182,0.0,0.0,0.0,5e-05,9e-05,0.00167,0.00142,0.0115,0.02666,0.95861
trial 183,0.0,0.0,0.0,5e-05,6e-05,0.00173,0.00145,0.01128,0.02655,0.95888
trial 184,0.0,0.0,0.0,1e-05,9e-05,0.00141,0.00139,0.01142,0.02753,0.95815
trial 185,0.0,0.0,1e-05,3e-05,7e-05,0.00163,0.00145,0.01177,0.027,0.95804
trial 186,0.0,0.0,2e-05,1e-05,4e-05,0.00165,0.00156,0.01087,0.0266,0.95925
trial 187,0.0,0.0,0.0,1e-05,5e-05,0.00161,0.0014,0.01084,0.0267,0.95939
trial 188,0.0,0.0,0.0,1e-05,7e-05,0.00166,0.00159,0.01105,0.02659,0.95903
trial 189,0.0,0.0,0.0,7e-05,7e-05,0.00151,0.00164,0.01118,0.02816,0.95737
trial 190,0.0,0.0,0.0,1e-05,5e-05,0.00137,0.00149,0.01103,0.02774,0.95831
trial 191,0.0,0.0,0.0,3e-05,6e-05,0.00176,0.00132,0.0108,0.0277,0.95833
trial 192,0.0,0.0,0.0,4e-05,7e-05,0.0016,0.00148,0.01104,0.02665,0.95912
trial 193,0.0,0.0,0.0,4e-05,3e-05,0.00176,0.00172,0.01112,0.02718,0.95815
trial 194,0.0,0.0,0.0,1e-05,8e-05,0.00174,0.00143,0.01079,0.02806,0.95789
trial 195,0.0,0.0,1e-05,4e-05,7e-05,0.00143,0.00153,0.01132,0.02677,0.95883
trial 196,0.0,0.0,0.0,1e-05,0.0001,0.00186,0.00151,0.01144,0.02727,0.95781
trial 197,0.0,0.0,0.0,1e-05,3e-05,0.00152,0.0015,0.0114,0.02664,0.9589
trial 198,0.0,0.0,0.0,2e-05,7e-05,0.0016,0.00125,0.01068,0.02691,0.95947
trial 199,0.0,0.0,0.0,3e-05,7e-05,0.00159,0.00164,0.01125,0.02707,0.95835
trial 200,0.0,0.0,0.0,5e-05,3e-05,0.00174,0.00129,0.01132,0.02751,0.95806
trial 201,0.0,0.0,0.0,3e-05,6e-05,0.00158,0.00146,0.01145,0.02701,0.95841
trial 202,0.0,0.0,0.0,3e-05,6e-05,0.00138,0.00143,0.01101,0.02739,0.9587
trial 203,0.0,0.0,0.0,2e-05,6e-05,0.00189,0.00159,0.01112,0.02784,0.95748
trial 204,0.0,0.0,0.0,1e-05,8e-05,0.00158,0.00144,0.01135,0.02642,0.95912
trial 205,0.0,0.0,0.0,2e-05,5e-05,0.00185,0.00138,0.01081,0.02872,0.95717
trial 206,0.0,0.0,0.0,1e-05,4e-05,0.00191,0.00161,0.01085,0.02664,0.95894
trial 207,0.0,0.0,0.0,6e-05,6e-05,0.0017,0.00131,0.01128,0.02656,0.95903
trial 208,0.0,0.0,0.0,2e-05,6e-05,0.00188,0.00142,0.011,0.02651,0.95911
trial 209,0.0,0.0,1e-05,5e-05,0.00011,0.00139,0.00153,0.01093,0.02665,0.95933
trial 210,0.0,0.0,0.0,0.0,3e-05,0.00164,0.00148,0.01102,0.02783,0.958
trial 211,0.0,0.0,0.0,1e-05,5e-05,0.00175,0.0013,0.01038,0.0275,0.95901
trial 212,0.0,0.0,0.0,2e-05,6e-05,0.00187,0.00144,0.0113,0.02684,0.95847
trial 213,0.0,0.0,0.0,2e-05,6e-05,0.00159,0.00136,0.01111,0.02768,0.95818
trial 214,0.0,0.0,0.0,1e-05,8e-05,0.00171,0.00142,0.01106,0.02713,0.95859
trial 215,0.0,0.0,0.0,1e-05,4e-05,0.00166,0.00142,0.01133,0.02737,0.95817
trial 216,0.0,0.0,0.0,2e-05,9e-05,0.00181,0.00143,0.01112,0.02731,0.95822
trial 217,0.0,0.0,0.0,2e-05,0.00013,0.00155,0.00127,0.01107,0.02735,0.95861
trial 218,0.0,0.0,0.0,2e-05,3e-05,0.0018,0.00159,0.0106,0.0266,0.95936
trial 219,0.0,0.0,0.0,2e-05,9e-05,0.00173,0.00117,0.01089,0.027,0.9591
trial 220,0.0,0.0,0.0,2e-05,4e-05,0.00191,0.00134,0.01059,0.02749,0.95861
trial 221,0.0,0.0,0.0,2e-05,4e-05,0.0017,0.00136,0.01128,0.02762,0.95798
trial 222,0.0,0.0,0.0,4e-05,9e-05,0.0016,0.00122,0.01151,0.02849,0.95705
trial 223,0.0,0.0,0.0,3e-05,5e-05,0.00163,0.00158,0.01105,0.02853,0.95713
trial 224,0.0,0.0,1e-05,4e-05,0.00013,0.00173,0.00136,0.01103,0.02774,0.95796
trial 225,0.0,0.0,0.0,5e-05,0.00012,0.00179,0.00141,0.01091,0.02695,0.95877
trial 226,0.0,0.0,1e-05,2e-05,3e-05,0.00172,0.00135,0.01105,0.0283,0.95752
trial 227,0.0,0.0,0.0,2e-05,5e-05,0.00171,0.00123,0.01131,0.02697,0.95871
trial 228,0.0,0.0,0.0,2e-05,9e-05,0.00193,0.00115,0.01107,0.02723,0.95851
trial 229,0.0,0.0,0.0,4e-05,0.00011,0.00176,0.00165,0.01123,0.02734,0.95787
trial 230,0.0,0.0,0.0,1e-05,5e-05,0.00164,0.0014,0.01099,0.02713,0.95878
trial 231,0.0,0.0,0.0,3e-05,0.00012,0.00177,0.00126,0.01107,0.02783,0.95792
trial 232,0.0,0.0,0.0,5e-05,9e-05,0.00195,0.00147,0.01099,0.02823,0.95722
trial 233,0.0,0.0,0.0,2e-05,8e-05,0.00158,0.0013,0.01172,0.0275,0.9578
trial 234,0.0,0.0,0.0,5e-05,6e-05,0.00156,0.00143,0.0113,0.02859,0.95701
trial 235,0.0,0.0,0.0,2e-05,4e-05,0.00164,0.00136,0.01125,0.0273,0.95839
trial 236,0.0,0.0,0.0,4e-05,7e-05,0.00169,0.00165,0.01149,0.02744,0.95762
trial 237,0.0,0.0,0.0,3e-05,7e-05,0.00173,0.00131,0.01098,0.02681,0.95907
trial 238,0.0,0.0,0.0,2e-05,4e-05,0.00167,0.00154,0.01095,0.02741,0.95837
trial 239,0.0,0.0,0.0,3e-05,9e-05,0.00159,0.00139,0.01083,0.02689,0.95918
trial 240,0.0,0.0,0.0,1e-05,8e-05,0.00172,0.00129,0.01137,0.02754,0.95799
trial 241,0.0,0.0,1e-05,2e-05,0.0001,0.00151,0.00148,0.01128,0.02741,0.95819
trial 242,0.0,0.0,0.0,4e-05,6e-05,0.00174,0.00153,0.01107,0.02743,0.95813
trial 243,0.0,0.0,0.0,5e-05,7e-05,0.00165,0.00134,0.01123,0.02674,0.95892
trial 244,0.0,0.0,0.0,3e-05,6e-05,0.00179,0.00138,0.01119,0.02734,0.95821
trial 245,0.0,0.0,0.0,6e-05,7e-05,0.00165,0.00149,0.01095,0.02765,0.95813
trial 246,0.0,0.0,0.0,2e-05,6e-05,0.00167,0.00154,0.01151,0.02795,0.95725
trial 247,0.0,0.0,0.0,2e-05,7e-05,0.00156,0.00145,0.01198,0.02715,0.95777
trial 248,0.0,0.0,1e-05,2e-05,6e-05,0.00179,0.0014,0.01144,0.02699,0.95829
trial 249,0.0,0.0,0.0,2e-05,0.00011,0.00182,0.00125,0.01118,0.0272,0.95842
trial 250,0.0,0.0,0.0,2e-05,4e-05,0.00185,0.00145,0.01127,0.02724,0.95813
trial 251,0.0,0.0,0.0,2e-05,9e-05,0.00183,0.00156,0.01115,0.02704,0.95831
trial 252,0.0,0.0,0.0,3e-05,4e-05,0.00162,0.00157,0.0112,0.02729,0.95825
trial 253,0.0,0.0,0.0,4e-05,4e-05,0.00149,0.00145,0.01095,0.02646,0.95957
trial 254,0.0,0.0,0.0,0.0,7e-05,0.00159,0.0014,0.01166,0.02643,0.95885
trial 255,0.0,0.0,0.0,2e-05,4e-05,0.00155,0.00127,0.01126,0.02787,0.95799
trial 256,0.0,0.0,0.0,3e-05,5e-05,0.00178,0.00112,0.01114,0.02747,0.95841
trial 257,0.0,0.0,0.0,0.0,9e-05,0.0015,0.00154,0.01039,0.02768,0.9588
trial 258,0.0,0.0,0.0,1e-05,9e-05,0.00173,0.00149,0.01138,0.02727,0.95803
trial 259,0.0,0.0,0.0,0.0,3e-05,0.00146,0.00154,0.01139,0.0273,0.95828
trial 260,0.0,0.0,0.0,2e-05,5e-05,0.00172,0.00145,0.0111,0.0273,0.95836
trial 261,0.0,0.0,0.0,1e-05,7e-05,0.00174,0.00155,0.0114,0.02784,0.95739
trial 262,0.0,0.0,0.0,2e-05,9e-05,0.00172,0.00153,0.0113,0.02722,0.95812
trial 263,0.0,0.0,1e-05,0.0,8e-05,0.00193,0.0016,0.01111,0.02747,0.9578
trial 264,0.0,0.0,0.0,1e-05,2e-05,0.00163,0.0013,0.0113,0.02764,0.9581
trial 265,0.0,0.0,0.0,3e-05,9e-05,0.00175,0.0014,0.01103,0.02787,0.95783
trial 266,0.0,0.0,0.0,4e-05,9e-05,0.00164,0.00166,0.01083,0.02747,0.95827
trial 267,0.0,0.0,0.0,1e-05,5e-05,0.00157,0.00156,0.01098,0.02814,0.95769
